,Year,Combustion,Hybrid,Electric,Total,Combustion_ratio,Hybrid_ratio,Electric_ratio,Charging Ports,Station Locations,Station Locations Ratio
11,2011,12741.8,260,10,13011.8,0.9792496042054136,0.0199818626170091,0.0007685331775772,5.248,2.109,0.00016208364715104753
12,2012,14433.2,460,15,14908.2,0.968138339973974,0.0308555023409935,0.0010061576850323,10.726,5.444,0.0003651681624877584
13,2013,15530.1,540,40,16110.1,0.963997740547855,0.0335193450071694,0.0024829144449755,16.619,6.938,0.00043066151048100256
14,2014,16452.2,510,60,17022.2,0.9665143165983244,0.0299608746225517,0.0035248087791237,22.47,9.207,0.0005408819071565367
15,2015,17408.0,430,70,17908.0,0.972079517534063,0.0240116149207058,0.0039088675452311,26.532,10.71,0.0005980567344203708
16,2016,17477.3,420,90,17987.3,0.9716466618113891,0.0233498079200324,0.0050035302685783,33.165,13.15,0.0007310713670200642
17,2017,17150.1,450,105,17705.1,0.9686530999542504,0.0254164054424996,0.0059304946032499,45.789,16.17,0.0009132961689004864
18,2018,17224.9,460,205,17889.9,0.9628281879719842,0.0257128323802816,0.0114589796477341,56.842,19.893,0.001111968205523787
19,2019,16961.1,490,230,17681.1,0.9592785516738211,0.0277132078886494,0.0130082404375293,73.838,23.282,0.0013167732776806875
20,2020,14471.8,530,240,15241.8,0.949481032423992,0.0347727958640055,0.0157461717120025,96.19,28.602,0.0018765500137779003
21,2021,14946.9,980,460,16386.9,0.9121249290591874,0.0598038677236084,0.0280712032172039,114.451,46.407,0.0028319572341321416
22,2022,13754.3,980,460,15194.3,0.9052276182515812,0.0644978709121183,0.0302745108363004,136.513,53.764,0.003538432175223604
